c=	1195	0.17725
c+	673	0.09982
c\	178	0.02640
c|	156	0.02314
c]	1947	0.28879
c}	545	0.08084
c[	1616	0.23970
c{	142	0.02106
c"	1789	0.26536
c'	857	0.12712
c;	2530	0.37527
c:	2677	0.39707
c/	342	0.05073
c?	79	0.01172
c.	3925	0.58219
c>	283	0.04198
c,	5447	0.80794
c<	783	0.11614
c§	45416	6.73644
c¶	4629	0.68661
c¬	61	0.00905
da	33242	4.48089
db	2850	0.38417
dc	2651	0.35734
dd	21000	2.83072
de	131456	17.71976
df	1476	0.19896
dg	2986	0.40250
dh	152	0.02049
di	61811	8.33188
dj	982	0.13237
dk	122	0.01645
dl	10006	1.34877
dm	727	0.09800
dn	1244	0.16769
do	57387	7.73555
dp	1646	0.22187
dq	102	0.01375
dr	15003	2.02235
ds	17752	2.39290
dt	7994	1.07756
du	21559	2.90607
dv	1044	0.14073
dw	2092	0.28199
dx	6092	0.82118
dy	5034	0.67856
dz	76	0.01024
dA	1041	0.14032
dB	811	0.10932
dC	1850	0.24937
dD	994	0.13399
dE	868	0.11700
dF	1047	0.14113
dG	236	0.03181
dH	361	0.04866
dI	3049	0.41099
dJ	42	0.00566
dK	170	0.02292
dL	3023	0.40749
dM	899	0.12118
dN	1024	0.13803
dO	1032	0.13911
dP	1718	0.23158
dQ	72	0.00971
dR	1035	0.13951
dS	2270	0.30599
dT	1318	0.17766
dU	91	0.01227
dV	572	0.07710
dW	539	0.07266
dX	154	0.02076
dY	163	0.02197
dZ	37	0.00499
d1	1729	0.23306
d2	1574	0.21217
d3	647	0.08721
d4	426	0.05742
d5	826	0.11134
d6	198	0.02669
d7	664	0.08950
d8	185	0.02494
d9	302	0.04071
d0	503	0.06780
d`	247	0.03329
d~	128	0.01725
d!	2461	0.33173
d@	162	0.02184
d#	62	0.00836
d$	1886	0.25423
d%	730	0.09840
d^	59	0.00795
d&	113	0.01523
d*	642	0.08654
d(	26345	3.55120
d)	14116	1.90278
d-	5384	0.72574
d_	9075	1.22327
d=	1788	0.24102
d+	1028	0.13857
d\	1812	0.24425
d|	228	0.03073
d]	2438	0.32863
d}	1071	0.14437
d[	4580	0.61737
d{	347	0.04677
d"	6873	0.92645
d'	1980	0.26690
d;	9063	1.22166
d:	10022	1.35093
d/	688	0.09274
d?	550	0.07414
d.	12938	1.74399
d>	3731	0.50292
d,	10658	1.43666
d<	264	0.03559
d§	140443	18.93117
d¶	31825	4.28989
d¬	168	0.02265
ea	83689	3.84496
eb	3508	0.16117
ec	76714	3.52451
ed	82017	3.76815
ee	36475	1.67579
ef	55100	2.53149
eg	42189	1.93831
eh	1019	0.04682
ei	14480	0.66526
ej	368	0.01691
ek	2677	0.12299
el	83082	3.81708
em	56483	2.59503
en	243971	11.20888
eo	4905	0.22535
ep	29823	1.37017
eq	22337	1.02624
er	240693	11.05828
es	141675	6.50904
et	151490	6.95998
eu	4150	0.19067
ev	23451	1.07742
ew	26694	1.22642
ex	76158	3.49896
ey	11789	0.54163
ez	752	0.03455
eA	2130	0.09786
eB	1546	0.07103
eC	2601	0.11950
eD	1927	0.08853
eE	1480	0.06800
eF	2358	0.10833
eG	546	0.02509
eH	658	0.03023
eI	2514	0.11550
eJ	53	0.00244
eK	183	0.00841
eL	3943	0.18116
eM	1666	0.07654
eN	2008	0.09225
eO	2399	0.11022
eP	2354	0.10815
eQ	226	0.01038
